year,state,party,margin
1976,AL,democrat,13
1976,AK,republican,22
1976,AZ,republican,17
1976,AR,democrat,30
1976,CA,republican,2
1976,CO,republican,11
1976,CT,republican,5
1976,DE,democrat,5
1976,DC,democrat,65
1976,FL,democrat,5
1976,GA,democrat,34
1976,HI,democrat,3
1976,ID,republican,23
1976,IL,republican,2
1976,IN,republican,8
1976,IA,republican,1
1976,KS,republican,8
1976,KY,democrat,7
1976,LA,democrat,6
1976,ME,republican,1
1976,MD,democrat,6
1976,MA,democrat,16
1976,MI,republican,5
1976,MN,democrat,13
1976,MS,democrat,2
1976,MO,democrat,4
1976,MT,republican,7
1976,NE,republican,21
1976,NV,republican,4
1976,NH,republican,11
1976,NJ,republican,2
1976,NM,republican,2
1976,NY,democrat,6
1976,NC,democrat,11
1976,ND,republican,6
1976,OH,democrat,0
1976,OK,republican,1
1976,OR,republican,0
1976,PA,democrat,3
1976,RI,democrat,11
1976,SC,democrat,13
1976,SD,republican,1
1976,TN,democrat,13
1976,TX,democrat,3
1976,UT,republican,29
1976,VT,republican,12
1976,VA,republican,1
1976,WA,republican,4
1976,WV,democrat,16
1976,WI,democrat,2
1976,WY,republican,19
1980,AL,republican,1
1980,AK,republican,28
1980,AZ,republican,32
1980,AR,republican,1
1980,CA,republican,17
1980,CO,republican,24
1980,CT,republican,10
1980,DE,republican,2
1980,DC,democrat,61
1980,FL,republican,17
1980,GA,democrat,15
1980,HI,democrat,2
1980,ID,republican,41
1980,IL,republican,8
1980,IN,republican,18
1980,IA,republican,13
1980,KS,republican,25
1980,KY,republican,1
1980,LA,republican,5
1980,ME,republican,3
1980,MD,democrat,3
1980,MA,republican,0
1980,MI,republican,6
1980,MN,democrat,4
1980,MS,republican,1
1980,MO,republican,7
1980,MT,republican,24
1980,NE,republican,40
1980,NV,republican,36
1980,NH,republican,29
1980,NJ,republican,13
1980,NM,republican,18
1980,NY,democrat,1
1980,NC,republican,2
1980,ND,republican,38
1980,OH,republican,11
1980,OK,republican,26
1980,OR,republican,10
1980,PA,republican,7
1980,RI,democrat,10
1980,SC,republican,1
1980,SD,republican,29
1980,TN,republican,0
1980,TX,republican,14
1980,UT,republican,52
1980,VT,republican,6
1980,VA,republican,13
1980,WA,republican,12
1980,WV,democrat,5
1980,WI,republican,5
1980,WY,republican,35
1984,AL,republican,22
1984,AK,republican,37
1984,AZ,republican,34
1984,AR,republican,22
1984,CA,republican,16
1984,CO,republican,28
1984,CT,republican,22
1984,DE,republican,20
1984,DC,democrat,72
1984,FL,republican,31
1984,GA,republican,20
1984,HI,republican,11
1984,ID,republican,46
1984,IL,republican,13
1984,IN,republican,24
1984,IA,republican,7
1984,KS,republican,34
1984,KY,republican,21
1984,LA,republican,23
1984,ME,republican,22
1984,MD,republican,5
1984,MA,republican,3
1984,MI,republican,19
1984,MN,democrat,0
1984,MS,republican,24
1984,MO,republican,20
1984,MT,republican,22
1984,NE,republican,42
1984,NV,republican,34
1984,NH,republican,38
1984,NJ,republican,21
1984,NM,republican,20
1984,NY,republican,6
1984,NC,republican,24
1984,ND,republican,31
1984,OH,republican,19
1984,OK,republican,38
1984,OR,republican,12
1984,PA,republican,7
1984,RI,republican,4
1984,SC,republican,28
1984,SD,republican,26
1984,TN,republican,16
1984,TX,republican,27
1984,UT,republican,50
1984,VT,republican,17
1984,VA,republican,25
1984,WA,republican,14
1984,WV,republican,11
1984,WI,republican,9
1984,WY,republican,42
1988,AL,republican,19
1988,AK,republican,23
1988,AZ,republican,21
1988,AR,republican,14
1988,CA,republican,4
1988,CO,republican,8
1988,CT,republican,5
1988,DE,republican,12
1988,DC,democrat,68
1988,FL,republican,22
1988,GA,republican,20
1988,HI,democrat,10
1988,ID,republican,26
1988,IL,republican,2
1988,IN,republican,20
1988,IA,democrat,10
1988,KS,republican,13
1988,KY,republican,12
1988,LA,republican,10
1988,ME,republican,11
1988,MD,republican,3
1988,MA,democrat,8
1988,MI,republican,8
1988,MN,democrat,7
1988,MS,republican,21
1988,MO,republican,4
1988,MT,republican,6
1988,NE,republican,21
1988,NV,republican,21
1988,NH,republican,26
1988,NJ,republican,14
1988,NM,republican,5
1988,NY,democrat,6
1988,NC,republican,16
1988,ND,republican,13
1988,OH,republican,11
1988,OK,republican,17
1988,OR,democrat,5
1988,PA,republican,2
1988,RI,democrat,12
1988,SC,republican,24
1988,SD,republican,6
1988,TN,republican,16
1988,TX,republican,13
1988,UT,republican,34
1988,VT,republican,4
1988,VA,republican,21
1988,WA,democrat,2
1988,WV,democrat,5
1988,WI,democrat,4
1988,WY,republican,23
1992,AL,republican,7
1992,AK,republican,9
1992,AZ,republican,2
1992,AR,democrat,18
1992,CA,democrat,13
1992,CO,democrat,4
1992,CT,democrat,6
1992,DE,democrat,8
1992,DC,democrat,76
1992,FL,republican,2
1992,GA,democrat,1
1992,HI,democrat,11
1992,ID,republican,14
1992,IL,democrat,14
1992,IN,republican,6
1992,IA,democrat,6
1992,KS,republican,5
1992,KY,democrat,3
1992,LA,democrat,5
1992,ME,democrat,8
1992,MD,democrat,14
1992,MA,democrat,19
1992,MI,democrat,7
1992,MN,democrat,12
1992,MS,republican,9
1992,MO,democrat,10
1992,MT,democrat,3
1992,NE,republican,17
1992,NV,democrat,3
1992,NH,democrat,1
1992,NJ,democrat,2
1992,NM,democrat,9
1992,NY,democrat,18
1992,NC,republican,1
1992,ND,republican,12
1992,OH,democrat,2
1992,OK,republican,9
1992,OR,democrat,10
1992,PA,democrat,9
1992,RI,democrat,18
1992,SC,republican,4
1992,SD,republican,4
1992,TN,democrat,5
1992,TX,republican,3
1992,UT,republican,16
1992,VT,democrat,16
1992,VA,republican,4
1992,WA,democrat,11
1992,WV,democrat,13
1992,WI,democrat,4
1992,WY,republican,6
1996,AL,republican,7
1996,AK,republican,18
1996,AZ,democrat,2
1996,AR,democrat,17
1996,CA,democrat,13
1996,CO,republican,1
1996,CT,democrat,18
1996,DE,democrat,15
1996,DC,democrat,76
1996,FL,democrat,6
1996,GA,republican,1
1996,HI,democrat,25
1996,ID,republican,19
1996,IL,democrat,18
1996,IN,republican,6
1996,IA,democrat,10
1996,KS,republican,18
1996,KY,democrat,1
1996,LA,democrat,12
1996,ME,democrat,21
1996,MD,democrat,16
1996,MA,democrat,33
1996,MI,democrat,13
1996,MN,democrat,16
1996,MS,republican,5
1996,MO,democrat,6
1996,MT,republican,3
1996,NE,republican,19
1996,NV,democrat,1
1996,NH,democrat,10
1996,NJ,democrat,18
1996,NM,democrat,7
1996,NY,democrat,30
1996,NC,republican,5
1996,ND,republican,7
1996,OH,democrat,6
1996,OK,republican,8
1996,OR,democrat,8
1996,PA,democrat,9
1996,RI,democrat,33
1996,SC,republican,6
1996,SD,republican,3
1996,TN,democrat,2
1996,TX,republican,5
1996,UT,republican,21
1996,VT,democrat,22
1996,VA,republican,2
1996,WA,democrat,13
1996,WV,democrat,15
1996,WI,democrat,10
1996,WY,republican,13
2000,AL,republican,15
2000,AK,republican,31
2000,AZ,republican,6
2000,AR,republican,5
2000,CA,democrat,12
2000,CO,republican,8
2000,CT,democrat,17
2000,DE,democrat,13
2000,DC,democrat,76
2000,FL,republican,0
2000,GA,republican,12
2000,HI,democrat,18
2000,ID,republican,40
2000,IL,democrat,12
2000,IN,republican,16
2000,IA,democrat,0
2000,KS,republican,21
2000,KY,republican,15
2000,LA,republican,8
2000,ME,democrat,5
2000,MD,democrat,16
2000,MA,democrat,27
2000,MI,democrat,5
2000,MN,democrat,2
2000,MS,republican,17
2000,MO,republican,3
2000,MT,republican,25
2000,NE,republican,29
2000,NV,republican,4
2000,NH,republican,1
2000,NJ,democrat,16
2000,NM,democrat,0
2000,NY,democrat,24
2000,NC,republican,13
2000,ND,republican,28
2000,OH,republican,4
2000,OK,republican,22
2000,OR,democrat,0
2000,PA,democrat,4
2000,RI,democrat,29
2000,SC,republican,16
2000,SD,republican,23
2000,TN,republican,4
2000,TX,republican,21
2000,UT,republican,40
2000,VT,democrat,10
2000,VA,republican,8
2000,WA,democrat,6
2000,WV,republican,6
2000,WI,democrat,0
2000,WY,republican,41
2004,AL,republican,26
2004,AK,republican,26
2004,AZ,republican,10
2004,AR,republican,10
2004,CA,democrat,10
2004,CO,republican,5
2004,CT,democrat,10
2004,DE,democrat,8
2004,DC,democrat,80
2004,FL,republican,5
2004,GA,republican,17
2004,HI,democrat,9
2004,ID,republican,38
2004,IL,democrat,10
2004,IN,republican,21
2004,IA,republican,1
2004,KS,republican,25
2004,KY,republican,20
2004,LA,republican,15
2004,ME,democrat,9
2004,MD,democrat,13
2004,MA,democrat,25
2004,MI,democrat,3
2004,MN,democratic-farmer-labor,3
2004,MS,republican,19
2004,MO,republican,7
2004,MT,republican,21
2004,NE,republican,33
2004,NV,republican,3
2004,NH,democrat,1
2004,NJ,democrat,7
2004,NM,republican,1
2004,NY,democrat,18
2004,NC,republican,12
2004,ND,republican,27
2004,OH,republican,2
2004,OK,republican,31
2004,OR,democrat,4
2004,PA,democrat,3
2004,RI,democrat,21
2004,SC,republican,17
2004,SD,republican,21
2004,TN,republican,14
2004,TX,republican,23
2004,UT,republican,46
2004,VT,democrat,20
2004,VA,republican,8
2004,WA,democrat,7
2004,WV,republican,13
2004,WI,democrat,0
2004,WY,republican,40
2008,AL,republican,22
2008,AK,republican,22
2008,AZ,republican,9
2008,AR,republican,20
2008,CA,democrat,24
2008,CO,democrat,9
2008,CT,democrat,22
2008,DE,democrat,25
2008,DC,democrat,86
2008,FL,democrat,3
2008,GA,republican,5
2008,HI,democrat,45
2008,ID,republican,25
2008,IL,democrat,25
2008,IN,democrat,1
2008,IA,democrat,10
2008,KS,republican,15
2008,KY,republican,16
2008,LA,republican,19
2008,ME,democrat,17
2008,MD,democrat,25
2008,MA,democrat,26
2008,MI,democrat,16
2008,MN,democrat,10
2008,MS,republican,13
2008,MO,republican,0
2008,MT,republican,2
2008,NE,republican,15
2008,NV,democrat,12
2008,NH,democrat,10
2008,NJ,democrat,16
2008,NM,democrat,15
2008,NY,democrat,29
2008,NC,democrat,0
2008,ND,republican,9
2008,OH,democrat,5
2008,OK,republican,31
2008,OR,democrat,16
2008,PA,democrat,10
2008,RI,democrat,28
2008,SC,republican,9
2008,SD,republican,8
2008,TN,republican,15
2008,TX,republican,12
2008,UT,republican,28
2008,VT,democrat,37
2008,VA,democrat,6
2008,WA,democrat,17
2008,WV,republican,13
2008,WI,democrat,14
2008,WY,republican,32
2012,AL,republican,22
2012,AK,republican,14
2012,AZ,republican,9
2012,AR,republican,24
2012,CA,democrat,23
2012,CO,democrat,5
2012,CT,democrat,17
2012,DE,democrat,19
2012,DC,democrat,84
2012,FL,democrat,1
2012,GA,republican,8
2012,HI,democrat,42
2012,ID,republican,32
2012,IL,democrat,17
2012,IN,republican,10
2012,IA,democrat,6
2012,KS,republican,22
2012,KY,republican,23
2012,LA,republican,17
2012,ME,democrat,15
2012,MD,democrat,26
2012,MA,democrat,23
2012,MI,democrat,9
2012,MN,democratic-farmer-labor,8
2012,MS,republican,11
2012,MO,republican,9
2012,MT,republican,14
2012,NE,republican,22
2012,NV,democrat,7
2012,NH,democrat,6
2012,NJ,democrat,18
2012,NM,democrat,10
2012,NY,democrat,30
2012,NC,republican,2
2012,ND,republican,20
2012,OH,democrat,3
2012,OK,republican,34
2012,OR,democrat,12
2012,PA,democrat,5
