name,code,fips,type,category,year,rne,ose,sjc,ssr,zindex
United States,US,0,Total,Total,1996,0.00315697,0.811127591,7.680162954,0.788449989,1.40247
United States,US,0,Total,Total,1997,0.002794477,0.795369701,7.874205807,0.782098557,0.20327
United States,US,0,Total,Total,1998,0.002865471,0.808415286,7.522425695,0.785374753,0.525
United States,US,0,Total,Total,1999,0.002689452,0.839230236,7.300701596,0.801359106,1.09231
United States,US,0,Total,Total,2000,0.002713487,0.864330384,7.633412234,0.791286709,1.28842
United States,US,0,Total,Total,2001,0.00267818,0.829930854,6.904415255,0.783960133,0.10201
United States,US,0,Total,Total,2002,0.002780781,0.768400126,6.593323694,0.757207138,-1.7251
United States,US,0,Total,Total,2003,0.003017641,0.770872546,6.447465882,0.783520621,-0.23525
United States,US,0,Total,Total,2004,0.003011646,0.792707868,6.332699622,0.792769677,0.37318
United States,US,0,Total,Total,2005,0.002844364,0.790686045,6.598590423,0.78947127,-0.03835
United States,US,0,Total,Total,2006,0.002979827,0.807862304,6.676722929,0.800554473,0.97076
United States,US,0,Total,Total,2007,0.002999092,0.801634509,6.234712594,0.782691614,0.05711
United States,US,0,Total,Total,2008,0.003184845,0.807359498,5.69898845,0.772929412,-0.04312
United States,US,0,Total,Total,2009,0.003358031,0.738422409,4.732443733,0.752460938,-1.87464
United States,US,0,Total,Total,2010,0.003362002,0.741548871,4.469263398,0.766592911,-1.4047
United States,US,0,Total,Total,2011,0.003198963,0.741029152,4.697367069,0.785658987,-0.96218
United States,US,0,Total,Total,2012,0.00301068,0.78387206,4.976863502,0.794324792,-0.29754
United States,US,0,Total,Total,2013,0.002767422,0.782019043,4.906505815,0.792384504,-0.9733
United States,US,0,Total,Total,2014,0.003089607,0.79566919,4.937442737,0.795799567,0.09292
United States,US,0,Total,Total,2015,0.003337513,0.840129036,5.14195943,0.797043414,1.44673
United States,US,0,Total,Total,2016,0.003068726,0.862533302,5.239670313,0.796132039,1.18764
United States,US,0,Total,Total,2017,0.003310751,0.843741516,5.261929516,0.796366042,1.46791
United States,US,0,Total,Total,2018,0.003205187,0.861611826,5.153665184,0.790985562,1.24858
United States,US,0,Total,Total,2019,0.003063321,0.868645218,5.156527113,0.796320649,1.23719
