male,age,height,weight
1,90,151.765,47.8256065
0,90,139.7,36.4858065
0,90,136.525,31.864838
1,20,156.845,53.0419145
0,10,145.415,41.276872
1,20,163.83,62.992589
0,12,149.225,38.2434755
1,17,168.91,55.4799715
0,59,147.955,34.869885
1,20,165.1,54.487739
0,27,154.305,49.89512
1,86,151.13,41.220173
0,73,144.78,36.0322145
0,20,149.9,47.7
0,80,150.495,33.849303
1,36,163.195,48.5626935
1,44,157.48,42.3258035
0,31,143.9418,38.3568735
1,12,121.92,19.617854
0,8,105.41,13.947954
0,6.5,86.36,10.489315
1,39,161.29,48.987936
0,29,156.21,42.7226965
1,13,129.54,23.586784
0,7,109.22,15.989118
1,56,146.4,35.493574
0,45,148.59,37.9032815
0,19,147.32,35.4652245
1,17,137.16,27.328918
